No,Code,Company Name,Listing Date,Shares,Listing Board
120,PTPS,Pulau Subur Tbk.,09 Oct 2023,"2,167,514,856",Development
121,STRK,Lovina Beach Brewery Tbk.,10 Oct 2023,"10,721,835,562",Development
122,UDNG,Agro Bahari Nusantara Tbk.,31 Oct 2023,"1,750,040,072",Acceleration
123,AYAM,Janu Putra Sejahtera Tbk.,30 Nov 2023,"4,000,000,000",Development
124,ISEA,Indo American Seafoods Tbk.,08 Jul 2024,"1,390,013,370",Development
125,GUNA,Gunanusa Eramandiri Tbk.,09 Jul 2024,"2,500,000,000",Development
126,NEST,Esta Indonesia Tbk.,08 Agt 2024,"4,112,500,000",Development
127,BRRC,Raja Roti Cemerlang Tbk.,09 Jan 2025,"994,603,036",Development
128,RLCO,Abadi Lestari Indonesia Tbk.,08 Dec 2025,"3,125,000,000",Development
129,YUPI,Yupi Indo Jelly Gum Tbk.,25 Mar 2025,"8,544,488,700",Main
130,FORE,Fore Kopi Indonesia Tbk.,14 Apr 2025,"8,918,359,270",Development
131,MSJA,Multi Spunindo Jaya Tbk.,10 Jan 2024,"5,882,352,900",Development
132,FAPA,FAP Agri Tbk.,04 Jan 2021,"3,629,411,800",Development
