No,Code,Company Name,Listing Date,Shares,Listing Board
73,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,"5,252,644,000",Watchlist
74,MKNT,Mitra Komunikasi Nusantara Tbk,26 Oct 2015,"5,500,000,000",Watchlist
75,BOGA,Apollo Global Interactive Tbk.,19 Dec 2016,"3,803,526,210",Development
76,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,"15,000,000,000",Main
77,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,"9,843,750,000",Development
78,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,"2,387,922,900",Development
79,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,"6,437,500,000",Main
80,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,"4,605,262,400",Main
81,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,"15,365,229,912",Watchlist
82,BELL,Trisula Textile Industries Tbk,03 Oct 2017,"7,250,000,000",Development
83,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,"1,899,852,850",Development
84,PZZA,Sarimelati Kencana Tbk.,23 May 2018,"3,021,875,000",Development
85,MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,"60,676,178,205",Main
86,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,"28,504,000,000",Main
87,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,"7,700,000,148",Watchlist
88,FILM,MD Entertainment Tbk.,07 Agt 2018,"10,887,566,758",Main
89,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,"1,625,000,000",Watchlist
90,DUCK,Jaya Bersama Indo Tbk.,10 Oct 2018,"1,283,330,000",Watchlist
91,YELO,Yelooo Integra Datanet Tbk.,29 Oct 2018,"1,912,774,405",Development
92,SOTS,Satria Mega Kencana Tbk.,10 Dec 2018,"1,000,003,979",Development
93,ZONE,Mega Perintis Tbk.,12 Dec 2018,"870,171,478",Development
94,CLAY,Citra Putra Realty Tbk.,18 Jan 2019,"2,570,000,000",Development
95,NATO,Olympus Strategic Indonesia Tb,18 Jan 2019,"8,001,111,504",Development
96,HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,"5,958,750,000",Watchlist
