No,Code,Company Name,Listing Date,Shares,Listing Board
70,MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,"2,724,036,581",Development
71,HKMU,HK Metals Utama Tbk.,09 Oct 2018,"3,221,750,000",Watchlist
72,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,"665,000,000",Watchlist
73,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,"3,418,085,290",Development
74,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,"12,111,376,157",Development
75,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,"1,000,000,000",Development
76,PURE,Trinitan Metals and Minerals T,09 Oct 2019,"1,375,181,505",Watchlist
77,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,"1,109,953,847",Development
78,IFSH,Ifishdeco Tbk.,05 Dec 2019,"2,125,000,000",Watchlist
79,IFII,Indonesia Fibreboard Industry ,10 Dec 2019,"9,412,000,000",Development
80,SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,"10,250,000,000",Main
81,EPAC,Megalestari Epack Sentosaraya ,01 Jul 2020,"3,303,400,000",Watchlist
82,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,"45,000,000,000",Watchlist
83,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,"3,240,235,840",Development
84,ARCI,Archi Indonesia Tbk.,28 Jun 2021,"25,235,000,000",Development
85,NICL,PAM Mineral Tbk.,09 Jul 2021,"10,635,644,907",Development
86,SBMA,Surya Biru Murni Acetylene Tbk,08 Sep 2021,"929,926,282",Development
87,CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,"17,125,504,000",Development
88,OBMD,OBM Drilchem Tbk.,08 Dec 2021,"805,992,931",Development
89,AVIA,Avia Avian Tbk.,08 Dec 2021,"61,953,555,600",Main
90,CHEM,Chemstar Indonesia Tbk.,08 Jul 2022,"1,700,014,594",Development
91,KKES,Kusuma Kemindo Sentosa Tbk.,08 Agt 2022,"1,500,000,000",Watchlist
92,PDPP,Primadaya Plastisindo Tbk.,09 Nov 2022,"3,061,341,438",Development
93,FWCT,Wijaya Cahaya Timber Tbk.,01 Feb 2023,"1,963,000,000",Development
94,PACK,Abadi Nusantara Hijau Investam,08 Feb 2023,"32,371,250,693",Acceleration
95,AMMN,Amman Mineral Internasional Tb,07 Jul 2023,"72,518,217,656",Main
96,PPRI,Paperocks Indonesia Tbk.,08 Agt 2023,"1,075,027,288",Development
97,SMGA,Sumber Mineral Global Abadi Tb,30 Jan 2024,"8,750,000,000",Development
98,SOLA,Xolare RCR Energy Tbk.,08 May 2024,"3,287,375,000",Development
99,BATR,Benteng Api Technic Tbk.,10 Jun 2024,"3,025,037,353",Development
100,BLES,Superior Prima Sukses Tbk.,08 Jul 2024,"8,890,206,400",Development
101,PTMR,Master Print Tbk.,08 Oct 2024,"1,907,000,000",Watchlist
102,DAAZ,Daaz Bara Lestari Tbk.,11 Nov 2024,"1,997,000,000",Main
103,DGWG,Delta Giri Wacana Tbk.,13 Jan 2025,"5,882,353,000",Main
104,MINE,Sinar Terang Mandiri Tbk.,10 Mar 2025,"4,084,435,300",Main
105,ASPR,Asia Pramulia Tbk.,08 Jul 2025,"2,712,000,000",Development
106,EMAS,Merdeka Gold Resources Tbk.,23 Sep 2025,"14,731,366,060",Development
107,AYLS,Agro Yasa Lestari Tbk.,12 Feb 2020,"853,423,236",Development
108,NCKL,Trimegah Bangun Persada Tbk.,12 Apr 2023,"63,098,600,000",Main
109,MBMA,Merdeka Battery Materials Tbk.,18 Apr 2023,"107,995,419,900",Main
110,NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,"6,082,020,000",Development
111,SMLE,Sinergi Multi Lestarindo Tbk.,10 Jan 2024,"2,328,153,048",Development
112,ADMG,Polychem Indonesia Tbk,20 Oct 1993,"3,889,179,559",Development
113,AGII,Samator Indo Gas Tbk.,28 Sep 2016,"3,066,660,000",Development
