No,Code,Company Name,Listing Date,Shares,Listing Board
32,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,"770,000,000",Watchlist
33,OASA,Maharaksa Biru Energi Tbk.,18 Jul 2016,"6,347,220,000",Development
34,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,"16,087,156,000",Main
35,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,"3,000,000,000",Development
36,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,"2,813,941,985",Development
37,TGRA,Terregra Asia Energy Tbk.,16 May 2017,"2,750,000,000",Watchlist
38,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,"33,330,000,000",Watchlist
39,MPOW,Megapower Makmur Tbk.,05 Jul 2017,"816,997,053",Development
40,GMFI,Garuda Maintenance Facility Ae,10 Oct 2017,"124,835,258,434",Development
41,PPRE,PP Presisi Tbk.,24 Nov 2017,"10,224,271,000",Development
42,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,"9,572,000,000",Development
43,MORA,Ekamas Mora Republik Tbk.,08 Agt 2022,"47,774,192,736",Main
44,IPCM,Jasa Armada Indonesia Tbk.,22 Dec 2017,"5,284,811,100",Main
45,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,"1,000,000,000",Development
46,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,"550,000,000",Development
47,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,"1,818,384,820",Main
48,MTPS,Meta Epsi Tbk.,10 Apr 2019,"2,084,850,829",Watchlist
49,JAST,Jasnita Telekomindo Tbk.,16 May 2019,"1,082,575,738",Development
50,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,"3,666,312,500",Main
51,PTPW,Pratama Widya Tbk.,07 Feb 2020,"878,187,500",Development
52,TAMA,Lancartama Sejati Tbk.,10 Feb 2020,"1,200,000,696",Watchlist
53,RONY,Aracord Nusantara Group Tbk.,09 Apr 2020,"1,250,000,000",Development
54,PTDU,Djasa Ubersakti Tbk.,08 Dec 2020,"1,500,000,000",Watchlist
55,FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,"400,000,975",Watchlist
56,MTEL,Dayamitra Telekomunikasi Tbk.,22 Nov 2021,"83,559,677,444",Main
57,SMKM,Sumber Mas Konstruksi Tbk.,09 Mar 2022,"1,253,000,000",Acceleration
58,ARKO,Arkora Hydro Tbk.,08 Jul 2022,"2,928,495,000",Development
59,KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Jul 2022,"1,663,943,474",Development
60,PGEO,Pertamina Geothermal Energy Tb,24 Feb 2023,"41,899,535,623",Main
61,BDKR,Berdikari Pondasi Perkasa Tbk.,03 Mar 2023,"4,725,101,522",Main
62,INET,Sinergi Inti Andalan Prima Tbk,24 Jul 2023,"22,374,111,088",Development
63,BREN,Barito Renewables Energy Tbk.,09 Oct 2023,"133,786,220,000",Main
64,KOKA,Koka Indonesia Tbk.,11 Oct 2023,"2,861,333,000",Development
65,ASLI,Asri Karya Lestari Tbk.,05 Jan 2024,"6,250,000,000",Development
66,DATA,Remala Abadi Tbk.,07 May 2024,"1,375,000,000",Development
67,HGII,Hero Global Investment Tbk.,09 Jan 2025,"6,500,000,000",Development
68,CDIA,Chandra Daya Investasi Tbk.,09 Jul 2025,"124,829,374,700",Development
69,MANG,Manggung Polahraya Tbk.,11 Jan 2024,"3,812,601,988",Acceleration
70,KETR,Ketrosden Triasmitra Tbk.,11 Jan 2021,"2,841,262,838",Development
