No,Code,Company Name,Listing Date,Shares,Listing Board
73,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,"3,552,213,000",Development
74,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,"7,109,300,000",Main
75,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,"800,000,000",Development
76,VICO,Victoria Investama Tbk.,08 Jul 2013,"15,217,075,658",Main
77,VINS,Victoria Insurance Tbk.,28 Sep 2015,"1,553,430,759",Development
78,VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,"5,687,353,997",Development
79,WOMF,Wahana Ottomitra Multiartha Tb,13 Dec 2004,"3,481,481,480",Development
80,YULE,Yulie Sekuritas Indonesia Tbk.,10 Dec 2004,"1,785,000,000",Development
81,CASA,Capital Financial Indonesia Tb,19 Jul 2016,"54,476,269,803",Development
82,BRIS,Bank Syariah Indonesia (Perser,09 May 2018,"45,667,877,639",Main
83,MTWI,Malacca Trust Wuwungan Insuran,12 Oct 2017,"2,924,486,639",Development
84,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Dec 2017,"1,000,000,000",Development
85,NICK,Charnic Capital Tbk.,02 May 2018,"651,150,000",Development
86,BTPS,Bank BTPN Syariah Tbk.,08 May 2018,"7,626,663,000",Main
87,TUGU,Asuransi Tugu Pratama Indonesi,28 May 2018,"3,555,575,600",Main
88,POLA,Pool Advista Finance Tbk.,16 Nov 2018,"3,351,075,600",Development
89,SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,"1,359,934,021",Development
90,LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,"2,100,000,000",Development
91,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,"1,300,000,000",Development
92,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,"18,197,283,760",Development
93,AMOR,Ashmore Asset Management Indon,14 Jan 2020,"2,222,222,400",Development
94,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,"5,000,000,000",Development
95,BBSI,Krom Bank Indonesia Tbk.,07 Sep 2020,"3,637,976,068",Main
96,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,"14,793,174,908",Development
97,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,"1,387,737,233",Development
98,VTNY,Venteny Fortuna International ,15 Dec 2022,"6,265,193,445",Development
99,YOII,Asuransi Digital Bersama Tbk.,08 Jan 2025,"3,424,687,500",Development
100,COIN,Indokripto Koin Semesta Tbk.,09 Jul 2025,"14,705,882,400",Development
101,SUPA,Super Bank Indonesia Tbk.,17 Dec 2025,"33,558,047,450",Development
102,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,"1,235,803,109",Development
103,AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,"24,493,093,216",Main
104,AGRS,Bank IBK Indonesia Tbk.,22 Dec 2014,"47,367,057,874",Development
105,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,"4,900,000,000",Development
106,POOL,Pool Advista Indonesia Tbk.,20 May 1991,"2,341,366,264",Watchlist
