model,split,threshold,n,positive_rate,predicted_positive_rate,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,f1_macro,roc_auc,pr_auc,mcc
logistic_regression,valid,0.05,20530,0.37296639064783244,0.9987335606429615,0.37355090112031175,0.5002808806349521,0.37309793211080766,0.9990858038396239,0.5433045701502077,0.2731252674768404,0.5510063802189422,0.4070745836361825,0.00763862221351781
logistic_regression,test,0.05,7301,0.35570469798657717,1.0,0.35570469798657717,0.5,0.35570469798657717,1.0,0.5247524752475248,0.2623762376237624,0.5619724256664544,0.39851925150308676,0.0
random_forest,valid,0.4099999999999999,20530,0.37296639064783244,0.8802240623477837,0.439162201656113,0.5382325912214545,0.39328205411986056,0.9281703016847329,0.5524720149253731,0.4007468344911238,0.5850940139016537,0.4385733673532536,0.11388396519216339
random_forest,test,0.4099999999999999,7301,0.35570469798657717,0.8637172990001369,0.4347349678126284,0.5433071813631113,0.3786869647954329,0.9195225259915287,0.5364483881837583,0.40614312723804513,0.5861557127664312,0.424862989446932,0.12085678084178048
